,Country,HDI.Rank,Human.Development.Index..HDI.,Life.Expectancy.at.Birth,Expected.Years.of.Education,Mean.Years.of.Education,Gross.National.Income..GNI..per.Capita,GNI.per.Capita.Rank.Minus.HDI.Rank,GDI.Rank,Gender.Development.Index..GDI.,Human.Development.Index..Female.,Human.Development.Index..Male.,Life.Expectancy.at.Birth..Female.,Life.Expectancy.at.Birth..Male.,Expected.Years.of.Education..Female.,Expected.Years.of.Education..Male.,Mean.Years.of.Education..Female.,Mean.Years.of.Education..Male.,Estimated.Gross.National.Income.per.Capita..Female.,Estimated.Gross.National.Income.per.Capita..Male.
60,Europe and Central Asia,NA,0.748,72.3,13.6,10,"12,791",NA,NA,0.945,0.719,0.76,76.1,68.5,13.5,13.8,9,10,8238,17607
61,Fiji,90,0.727,70,15.7,9.9,"7,493",21,90,0.941,0.699,0.743,73.2,67.2,16,15.5,9.8,10,4274,10592
62,Finland,24,0.883,80.8,17.1,10.3,"38,695",0,24,0.996,0.879,0.882,83.6,78,17.7,16.5,10.2,10.2,31644,45994
63,France,22,0.888,82.2,16,11.1,"38,056",4,22,0.987,0.881,0.893,85.1,79.2,16.4,15.6,11,11.3,31073,45497
64,Gabon,110,0.684,64.4,12.5,7.8,"16,367",-42,110,..,..,..,65,63.8,..,..,8.9,6.6,13527,19177
65,Gambia,175,0.441,60.2,8.8,2.8,"1,507",-2,175,0.889,0.414,0.466,61.6,58.9,8.7,8.9,2,3.7,1267,1753
66,Georgia,76,0.754,74.9,13.8,12.1,"7,164",40,76,0.962,0.736,0.765,78.4,71.2,14,13.6,12,12.3,4887,9718
67,Germany,6,0.916,80.9,16.5,13.1,"43,919",11,6,0.963,0.901,0.936,83.3,78.5,16.3,16.6,12.9,13.8,34886,53290
68,Ghana,140,0.579,61.4,11.5,7,"3,852",-1,140,0.885,0.54,0.61,62.3,60.4,11,12,5.6,7.9,3200,4515
69,Greece,29,0.865,80.9,17.6,10.3,"24,524",14,29,0.961,0.844,0.879,83.8,78,17.7,17.6,9.8,10.5,17288,31952
70,Grenada,79,0.75,73.4,15.8,8.6,"10,939",14,79,..,..,..,75.9,71,16.3,15.3,..,..,..,..
71,Guatemala,128,0.627,71.8,10.7,5.6,"6,929",-11,128,0.949,0.608,0.641,75.3,68.3,10.2,11,5.5,5.7,5021,8934
72,Guinea,182,0.411,58.8,8.7,2.4,"1,096",0,182,0.778,0.358,0.46,59.2,58.3,7.3,10,1.4,3.7,877,1314
73,Guinea-Bissau,178,0.42,55.2,9,2.8,"1,362",-1,178,..,..,..,57,53.4,..,..,..,..,1135,1593
74,Guyana,124,0.636,66.4,10.3,8.5,"6,522",-4,124,0.984,0.626,0.636,68.8,64.2,11.2,9.4,8.9,8,4164,8804
75,Haiti,163,0.483,62.8,8.7,4.9,"1,669",4,163,..,..,..,64.9,60.7,..,..,4.2,5.6,1379,1966
76,Honduras,131,0.606,73.1,11.1,5.5,"3,938",7,131,0.944,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,2365,5508
77,"Hong Kong, China (SAR)",12,0.91,84,15.6,11.2,"53,959",-2,12,0.958,0.892,0.931,86.8,81.2,15.7,15.5,10.9,11.9,38060,72052
78,Hungary,44,0.828,75.2,15.4,11.6,"22,916",3,44,0.976,0.818,0.838,78.7,71.5,15.7,15.1,11.3,12.2,17443,28960
79,Iceland,16,0.899,82.6,19,10.6,"35,182",12,16,0.975,0.886,0.909,84,81,20.1,17.9,10.8,10.4,28792,41486
80,India,130,0.609,68,11.7,5.4,"5,497",-4,130,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,2116,8656
81,Indonesia,110,0.684,68.9,13,7.6,"9,788",-9,110,0.927,0.655,0.706,71,66.9,13.1,12.9,7,8.2,6485,13052
